MOBILE_PHONE_NO,ACTV_REASON_CODE,ACTV_REASON_DESCRIPTION,ADJ_CREATION_DATE,ACTV_AMT
1234588861,OGWDD,Overage Bill Shock Data Device,22/05/2014,$6.08
1234577212,OGWRDI,Overage Bill Shock Intl Roam Data,10/02/2014,$100.00
1234591698,OGWRV,Overage Bill Shock US Roam Voice,23/04/2014,$202.50
1234584815,OGWRD,Overage Bill Shock US Roam Data,07/03/2014,$4.21
1234584815,OGWTUS,Overage Bill Shock US Roam Text,07/03/2014,$1.20
1234584815,OGWRV,Overage Bill Shock US Roam Voice,07/03/2014,$28.50
1234578166,OGWRD,Overage Bill Shock US Roam Data,25/03/2014,$75.02
1234579197,OGWVLD,Overage Bill Shock Vocie LD,18/01/2014,$20.00
1234578167,OGWDD,Overage Bill Shock Data Device,07/02/2014,"$2,092.00"
1234578168,OGWDD,Overage Bill Shock Data Device,24/04/2014,$166.53
1234577213,OGWDD,Overage Bill Shock Data Device,01/01/2014,$10.40
1234584816,OGWDD,Overage Bill Shock Data Device,26/02/2014,$110.32
1234579198,OGWDD,Overage Bill Shock Data Device,23/07/2014,$77.00
1234577214,OGWDD,Overage Bill Shock Data Device,23/05/2014,$44.74
1234587266,OGWDD,Overage Bill Shock Data Device,08/05/2014,$100.00
1234582821,OGWRD,Overage Bill Shock US Roam Data,11/02/2014,$100.00
1234582822,OGWDD,Overage Bill Shock Data Device,07/03/2014,$101.13
1234586136,OGWDHS,Overage Bill Shock Data MHSI,09/07/2014,$20.00
1234586136,OGWDD,Overage Bill Shock Data Device,28/07/2014,$40.00
1234588862,OGWRV,Overage Bill Shock US Roam Voice,18/03/2014,$465.55
1234577215,OGWRDI,Overage Bill Shock Intl Roam Data,04/01/2014,$39.85
1234577215,OGWRVI,Overage Bill Shock Intl Roam Voice,08/01/2014,$35.00
1234577215,OGWTI,Overage Bill Shock Intl Roam Text,13/01/2014,$0.60
1234577216,OGWRV,Overage Bill Shock US Roam Voice,15/01/2014,$425.25
1234584819,OGWRV,Overage Bill Shock US Roam Voice,10/01/2014,$91.50
1234589796,OGWRDI,Overage Bill Shock Intl Roam Data,21/04/2014,$340.86
1234589796,OGWRVI,Overage Bill Shock Intl Roam Voice,07/04/2014,$28.50
1234579199,OGWRD,Overage Bill Shock US Roam Data,22/04/2014,$292.34
1234584820,OGWDD,Overage Bill Shock Data Device,02/04/2014,$44.70
1234591359,OGWDHS,Overage Bill Shock Data MHSI,12/05/2014,$50.00
1234579200,OGWVLD,Overage Bill Shock Vocie LD,24/03/2014,$193.09
1234584821,OGWRVI,Overage Bill Shock Intl Roam Voice,15/02/2014,$95.51
1234584821,OGWRD,Overage Bill Shock US Roam Data,03/04/2014,$61.32
